"Species","Caught","Sold","Value","PricePerLb","Year","InflAdj","AdjValue","AdjPricePerLb"
"Albacoretuna",91634,91638,31343,0.34,1948,9.83,308101.69,3.3422
"Albacoretuna",84123,84123,25560,0.3,1949,9.96,254577.6,2.988
"Albacoretuna",58753,58753,11382,0.19,1950,9.83,111885.06,1.8677
"Albacoretuna",50334,50334,12787,0.25,1951,9.12,116617.44,2.28
"Albacoretuna",105000,104972,23995,0.23,1952,8.94,214515.3,2.0562
"Albacoretuna",49217,49022,8568,0.17,1953,8.88,76083.84,1.5096
"Albacoretuna",29750,29692,5162,0.17,1954,8.98,46354.76,1.5266
"Albacoretuna",21936,21936,4457,0.2,1955,9.01,40157.57,1.802
"Albacoretuna",13425,13425,4673,0.35,1956,8.88,41496.24,3.108
"Albacoretuna",9640,9593,2642,0.28,1957,8.59,22694.78,2.4052
"Albacoretuna",16217,16217,3539,0.22,1958,8.35,29550.65,1.837
"Albacoretuna",11288,11288,2393,0.21,1959,8.3,19861.9,1.743
"Albacoretuna",8918,8918,2597,0.29,1960,8.16,21191.52,2.3664
"Albacoretuna",13560,13560,4079,0.3,1961,8.07,32917.53,2.421
"Albacoretuna",16704,16704,4030,0.24,1962,7.99,32199.7,1.9176
"Albacoretuna",15048,15048,4679,0.31,1963,7.89,36917.31,2.4459
"Albacoretuna",9495,9495,3106,0.33,1964,7.79,24195.74,2.5707
"Albacoretuna",6731,6731,1751,0.26,1965,7.66,13412.66,1.9916
"Albacoretuna",19111,19111,6376,0.33,1966,7.45,47501.2,2.4585
"Albacoretuna",26361,26361,8898,0.34,1967,7.23,64332.54,2.4582
"Albacoretuna",22640,22640,8214,0.36,1968,6.94,57005.16,2.4984
"Albacoretuna",27402,27348,12363,0.45,1969,6.58,81348.54,2.961
"Albacoretuna",20001,20001,10639,0.53,1970,6.22,66174.58,3.2966
"Albacoretuna",23414,23414,11077,0.47,1971,5.96,66018.92,2.8012
"Albacoretuna",17975,17975,11736,0.65,1972,5.78,67834.08,3.757
"Albacoretuna",30735,30735,27641,0.9,1973,5.44,150367.04,4.896
"Albacoretuna",19509,19411,14890,0.77,1974,4.9,72961,3.773
"Albacoretuna",94253,91465,83485,0.91,1975,4.49,374847.65,4.0859
"Albacoretuna",60149,59277,40314,0.68,1976,4.24,170931.36,2.8832
"Albacoretuna",79385,79280,72896,0.92,1977,3.98,290126.08,3.6616
"Albacoretuna",694406,693679,493311,0.71,1978,3.7,1825250.7,2.627
"Albacoretuna",43301,43292,55933,1.29,1979,3.33,186256.89,4.2957
"Albacoretuna",149623,149433,118645,0.79,1980,2.93,347629.85,2.3147
"Albacoretuna",242874,242428,237358,0.98,1981,2.66,631372.28,2.6068
"Albacoretuna",362561,362441,250601,0.69,1982,2.5,626502.5,1.725
"Albacoretuna",433325,423069,316517,0.75,1983,2.42,765971.14,1.815
"Albacoretuna",269781,266734,222677,0.83,1984,2.32,516610.64,1.9256
"Albacoretuna",93486,92958,72915,0.78,1985,2.24,163329.6,1.7472
"Albacoretuna",197586,197424,167434,0.85,1986,2.2,368354.8,1.87
"Albacoretuna",32442,31472,41060,1.3,1987,2.13,87457.8,2.769
"Albacoretuna",55565,55339,80942,1.46,1988,2.04,165121.68,2.9784
"Albacoretuna",306197,304789,403559,1.32,1989,1.95,786940.05,2.574
"Albacoretuna",282664,281854,443340,1.57,1990,1.85,820179,2.9045
"Albacoretuna",713295,702576,871607,1.24,1991,1.77,1542744.39,2.1948
"Albacoretuna",741632,734421,781734,1.06,1992,1.72,1344582.48,1.8232
"Albacoretuna",956916,947911,1107579,1.17,1993,1.67,1849656.93,1.9539
"Albacoretuna",1203589,1199110,1357264,1.13,1994,1.63,2212340.32,1.8419
"Albacoretuna",2785288,2643141,2554482,0.97,1995,1.58,4036081.56,1.5326
"Albacoretuna",2569974,2530745,3125130,1.23,1996,1.54,4812700.2,1.8942
"Albacoretuna",3444185,3425299,4065512,1.19,1997,1.5,6098268,1.785
"Albacoretuna",2847574,2810102,3409750,1.21,1998,1.48,5046430,1.7908
"Albacoretuna",3587240,3565041,4064182,1.14,1999,1.45,5893063.9,1.653
"Albacoretuna",2355972,2305604,3264842,1.42,2000,1.4,4570778.8,1.988
"Albacoretuna",3488141,3415395,3674457,1.08,2001,1.36,4997261.52,1.4688
"Albacoretuna",1678312,1641889,1925728,1.17,2002,1.34,2580475.52,1.5678
"Albacoretuna",1347661,1342493,1561827,1.16,2003,1.31,2045993.37,1.5196
"Albacoretuna",1151925,1139831,1506418,1.32,2004,1.28,1928215.04,1.6896
"Albacoretuna",1035650,1010000,1508684,1.49,2005,1.24,1870768.16,1.8476
"Albacoretuna",786220,763586,1281754,1.68,2006,1.2,1538104.8,2.016
"Albacoretuna",765119,735426,1131288,1.54,2007,1.16,1312294.08,1.7864
"Albacoretuna",854500,803337,1343758,1.67,2008,1.12,1505008.96,1.8704
"Albacoretuna",733181,650025,1071089,1.65,2009,1.13,1210330.57,1.8645
"Albacoretuna",981086,926942,1318462,1.42,2010,1.11,1463492.82,1.5762
"Albacoretuna",1770335,1594706,2561525,1.61,2011,1.07,2740831.75,1.7227
"Albacoretuna",2076538,1932337,4098835,2.12,2012,1.05,4303776.75,2.226
"Albacoretuna",828527,805344,1757617,2.18,2013,1.04,1827921.68,2.2672
"Albacoretuna",543218,502472,996768,1.98,2014,1.02,1016703.36,2.0196
"Albacoretuna",698758,662368,1058188,1.6,2015,1,1058188,1.6
"Algae",663,656,529,0.81,1948,9.83,5200.07,7.9623
"Algae",720,720,618,0.86,1949,9.96,6155.28,8.5656
"Algae",656,656,577,0.88,1950,9.83,5671.91,8.6504
"Algae",400,400,460,1.15,1951,9.12,4195.2,10.488
"Algae",240,240,215,0.9,1952,8.94,1922.1,8.046
"Algae",255,255,121,0.47,1953,8.88,1074.48,4.1736
"Algae",940,900,407,0.45,1954,8.98,3654.86,4.041
"Algae",902,802,640,0.8,1955,9.01,5766.4,7.208
"Algae",313,313,46,0.15,1956,8.88,408.48,1.332
"Algae",200,200,200,1,1957,8.59,1718,8.59
"Algae",443,443,443,1,1958,8.35,3699.05,8.35
"Algae",600,600,600,1,1959,8.3,4980,8.3
"Algae",-99999,-99999,-99999,-99999,1960,8.16,-99999,-99999
"Algae",45,45,56,1.24,1961,8.07,451.92,10.0068
"Algae",111,111,129,1.16,1962,7.99,1030.71,9.2684
"Algae",4738,4738,1728,0.36,1963,7.89,13633.92,2.8404
"Algae",12271,12266,2956,0.24,1964,7.79,23027.24,1.8696
"Algae",3230,3230,700,0.22,1965,7.66,5362,1.6852
"Algae",-99999,-99999,-99999,-99999,1966,7.45,-99999,-99999
"Algae",2421,2421,542,0.22,1967,7.23,3918.66,1.5906
"Algae",355,355,111,0.31,1968,6.94,770.34,2.1514
"Algae",70414,70287,17888,0.25,1969,6.58,117703.04,1.645
"Algae",49462,49302,16165,0.33,1970,6.22,100546.3,2.0526
"Algae",88813,88813,28366,0.32,1971,5.96,169061.36,1.9072
"Algae",96563,96460,34837,0.36,1972,5.78,201357.86,2.0808
"Algae",97140,96987,35909,0.37,1973,5.44,195344.96,2.0128
"Algae",46366,45885,23899,0.52,1974,4.9,117105.1,2.548
"Algae",64616,63701,39280,0.62,1975,4.49,176367.2,2.7838
"Algae",65716,64466,39631,0.61,1976,4.24,168035.44,2.5864
"Algae",92285,90962,58991,0.65,1977,3.98,234784.18,2.587
"Algae",44707,44664,31353,0.7,1978,3.7,116006.1,2.59
"Algae",17025,16679,19869,1.19,1979,3.33,66163.77,3.9627
"Algae",10566,10254,16072,1.57,1980,2.93,47090.96,4.6001
"Algae",9007,8941,18860,2.11,1981,2.66,50167.6,5.6126
"Algae",5581,5568,14181,2.55,1982,2.5,35452.5,6.375
"Algae",7131,6970,13302,1.91,1983,2.42,32190.84,4.6222
"Algae",15770,15229,24788,1.63,1984,2.32,57508.16,3.7816
"Algae",16175,15545,30142,1.94,1985,2.24,67518.08,4.3456
"Algae",14284,13971,35688,2.55,1986,2.2,78513.6,5.61
"Algae",13120,12680,34407,2.71,1987,2.13,73286.91,5.7723
"Algae",16561,15530,42363,2.73,1988,2.04,86420.52,5.5692
"Algae",11115,9650,36867,3.82,1989,1.95,71890.65,7.449
"Algae",10758,8257,31543,3.82,1990,1.85,58354.55,7.067
"Algae",9502,8459,33620,3.97,1991,1.77,59507.4,7.0269
"Algae",14284,12913,31817,2.46,1992,1.72,54725.24,4.2312
"Algae",14776,13550,43000,3.17,1993,1.67,71810,5.2939
"Algae",19066,17712,62857,3.55,1994,1.63,102456.91,5.7865
"Algae",16263,15501,54224,3.5,1995,1.58,85673.92,5.53
"Algae",38948,38533,101841,2.64,1996,1.54,156835.14,4.0656
"Algae",26604,25657,75697,2.95,1997,1.5,113545.5,4.425
"Algae",6008,4866,27604,5.67,1998,1.48,40853.92,8.3916
"Algae",5057,4056,23241,5.73,1999,1.45,33699.45,8.3085
"Algae",10679,6961,39363,5.65,2000,1.4,55108.2,7.91
"Algae",16882,8042,42896,5.33,2001,1.36,58338.56,7.2488
"Algae",9576,8814,57750,6.55,2002,1.34,77385,8.777
"Algae",13410,6460,31936,4.94,2003,1.31,41836.16,6.4714
"Algae",16863,6204,27100,4.37,2004,1.28,34688,5.5936
"Algae",10490,7299,40759,5.58,2005,1.24,50541.16,6.9192
"Algae",7446,6818,33807,4.96,2006,1.2,40568.4,5.952
"Algae",6653,4337,35623,8.21,2007,1.16,41322.68,9.5236
"Algae",10907,6321,50080,7.92,2008,1.12,56089.6,8.8704
"Algae",12271,7286,54634,7.5,2009,1.13,61736.42,8.475
"Algae",12941,5410,50057,9.25,2010,1.11,55563.27,10.2675
"Algae",13398,5596,47072,8.41,2011,1.07,50367.04,8.9987
"Algae",22656,6251,44291,7.08,2012,1.05,46505.55,7.434
"Algae",16921,5898,50804,8.61,2013,1.04,52836.16,8.9544
"Algae",6696,6069,64611,10.65,2014,1.02,65903.22,10.863
"Algae",4859,3757,46646,12.42,2015,1,46646,12.42
"Armorhead",-99999,-99999,-99999,-99999,1948,9.83,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1949,9.96,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1950,9.83,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1951,9.12,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1952,8.94,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1953,8.88,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1954,8.98,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1955,9.01,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1956,8.88,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1957,8.59,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1958,8.35,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1959,8.3,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1960,8.16,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1961,8.07,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1962,7.99,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1963,7.89,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1964,7.79,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1965,7.66,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1966,7.45,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1967,7.23,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1968,6.94,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1969,6.58,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1970,6.22,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1971,5.96,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1972,5.78,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1973,5.44,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1974,4.9,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1975,4.49,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1976,4.24,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1977,3.98,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1978,3.7,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1979,3.33,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1980,2.93,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1981,2.66,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1982,2.5,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1983,2.42,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1984,2.32,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1985,2.24,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1986,2.2,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1987,2.13,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1988,2.04,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1989,1.95,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1990,1.85,-99999,-99999
"Armorhead",31,31,125,4.06,1991,1.77,221.25,7.1862
"Armorhead",-99999,-99999,-99999,-99999,1992,1.72,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1993,1.67,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1994,1.63,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1995,1.58,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1996,1.54,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,1997,1.5,-99999,-99999
"Armorhead",12,0,0,0,1998,1.48,0,0
"Armorhead",11,0,0,0,1999,1.45,0,0
"Armorhead",8,0,0,0,2000,1.4,0,0
"Armorhead",-99999,-99999,-99999,-99999,2001,1.36,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2002,1.34,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2003,1.31,-99999,-99999
"Armorhead",4,0,0,0,2004,1.28,0,0
"Armorhead",6,0,0,0,2005,1.24,0,0
"Armorhead",-99999,-99999,-99999,-99999,2006,1.2,-99999,-99999
"Armorhead",11,0,0,0,2007,1.16,0,0
"Armorhead",40,10,6,0.64,2008,1.12,6.72,0.7168
"Armorhead",-99999,-99999,-99999,-99999,2009,1.13,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2010,1.11,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2011,1.07,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2012,1.05,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2013,1.04,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2014,1.02,-99999,-99999
"Armorhead",-99999,-99999,-99999,-99999,2015,1,-99999,-99999
"Barracudas",37974,36173,13502,0.37,1948,9.83,132724.66,3.6371
"Barracudas",54299,52600,14921,0.28,1949,9.96,148613.16,2.7888
"Barracudas",24652,23991,7698,0.32,1950,9.83,75671.34,3.1456
"Barracudas",21850,21463,7139,0.33,1951,9.12,65107.68,3.0096
"Barracudas",21375,21106,7571,0.36,1952,8.94,67684.74,3.2184
"Barracudas",19785,19452,8315,0.43,1953,8.88,73837.2,3.8184
"Barracudas",16360,16112,6643,0.41,1954,8.98,59654.14,3.6818
"Barracudas",23396,23138,9017,0.39,1955,9.01,81243.17,3.5139
"Barracudas",20399,20158,7898,0.39,1956,8.88,70134.24,3.4632
"Barracudas",17216,17027,8463,0.5,1957,8.59,72697.17,4.295
"Barracudas",13863,13725,5978,0.44,1958,8.35,49916.3,3.674
"Barracudas",12350,12090,6736,0.56,1959,8.3,55908.8,4.648
"Barracudas",8057,7946,3357,0.42,1960,8.16,27393.12,3.4272
"Barracudas",7736,7673,3143,0.41,1961,8.07,25364.01,3.3087
"Barracudas",10626,10511,4335,0.41,1962,7.99,34636.65,3.2759
"Barracudas",10832,10531,4270,0.41,1963,7.89,33690.3,3.2349
"Barracudas",10732,10488,4369,0.42,1964,7.79,34034.51,3.2718
