Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"14,093","13,841","$57,501 ",$4.15 
Sharks                        ,"102,277","88,262","$87,786 ",$0.99 
Eels                          ,882,829,$670 ,$0.81 
Bigeye scad (akule)           ,"778,087","704,916","$1,152,219 ",$1.63 
Mackerel scad                 ,"304,205","287,716","$472,318 ",$1.64 
Leatherjacket                 ,974,841,"$1,183 ",$1.41 
Ten pounder                   ,392,374,$473 ,$1.27 
Bonefish                      ,"4,458","3,812","$5,092 ",$1.34 
Herrings/sardines             ,20,20,$50 ,$2.50 
Milkfish                      ,"1,121",985,"$1,444 ",$1.47 
Flying fishes                 ,5,3,$3 ,$1.08 
Needlefishes                  ,204,190,$228 ,$1.20 
Threadfin                     ,"2,616","2,094","$10,834 ",$5.17 
Mullets                       ,"7,621","6,993","$19,792 ",$2.83 
Pomfret                       ,"161,038","159,651","$242,387 ",$1.52 
Oilfish                       ,370,370,$277 ,$0.75 
Jacks                         ,"43,066","35,590","$71,177 ",$2.00 
Kahala (amberjack)            ,"12,156",416,$573 ,$1.38 
Sasa ulua                     ,583,419,"$1,016 ",$2.43 
Butaguchi (pig-lipped ulua)   ,"60,838","56,693","$84,882 ",$1.50 
Dobe ulua                     ,190,190,$268 ,$1.41 
Papa ulua                     ,"6,806","6,400","$12,917 ",$2.02 
White ulua                    ,"9,914","9,224","$8,774 ",$0.95 
Gunkin (black) ulua           ,874,766,"$1,242 ",$1.62 
Blue trevally                 ,"2,657","2,134","$3,577 ",$1.68 
Hapuupuu (hawaiian grouper)   ,"74,326","70,358","$220,442 ",$3.13 
Blue spot grouper             ,429,361,$750 ,$2.08 
Kalekale                      ,"29,993","27,644","$76,917 ",$2.78 
Snappers                      ,"3,390","3,305","$10,605 ",$3.21 
Taape (blue lined snapper)    ,"85,506","74,508","$70,300 ",$0.94 
Ehu (red snapper)             ,"42,032","39,236","$150,023 ",$3.82 
Gindai (flower snapper)       ,"8,360","7,209","$19,424 ",$2.69 
Golden kalekale               ,134,128,$336 ,$2.63 
Lehi (silverjaw)              ,"12,463","11,864","$36,289 ",$3.06 
Onaga (red snapper)           ,"126,273","121,089","$647,998 ",$5.35 
Opakapaka (pink snapper)      ,"260,000","249,563","$1,119,293 ",$4.49 
Uku (gray snapper)            ,"106,079","101,060","$301,252 ",$2.98 
Porgy                         ,"2,243","2,086","$5,005 ",$2.40 
Reef fishes (unknown)         ,304,63,$153 ,$2.43 
Reef jacks                    ,157,152,$450 ,$2.96 
Squirrelfishes                ,"52,845","49,249","$151,268 ",$3.07 
Trumpetfish                   ,127,103,$122 ,$1.19 
Scorpionfishes                ,"4,182","3,941","$15,535 ",$3.94 
Mountain bass                 ,"4,769","4,302","$11,164 ",$2.60 
Bigeyes                       ,"5,583","5,175","$13,435 ",$2.60 
Goatfishes                    ,"73,382","67,448","$195,186 ",$2.89 
Rudderfish                    ,"7,520","6,789","$8,234 ",$1.21 
Damselfishes                  ,"1,955","1,910","$3,497 ",$1.83 
Hawkfish                      ,817,779,"$1,739 ",$2.23 
Tilapia                       ,915,584,$684 ,$1.17 
Wrasses                       ,"9,429","6,875","$23,578 ",$3.43 
Parrotfishes                  ,"36,177","34,051","$79,715 ",$2.34 
Surgeonfishes/tangs           ,"84,909","80,814","$110,400 ",$1.37 
Flounders                     ,96,94,$89 ,$0.95 
Filefishes                    ,"2,374","2,210","$4,318 ",$1.95 
Moonfish (opah)               ,"709,349","704,294","$814,073 ",$1.16 
Rainbow runner                ,"3,674","2,926","$3,953 ",$1.35 
Mahimahi                      ,"978,709","913,605","$1,667,568 ",$1.83 
Barracudas                    ,"32,757","30,810","$26,390 ",$0.86 
Wahoo                         ,"712,953","642,711","$1,285,093 ",$2.00 
Japanese mackerel             ,73,72,$155 ,$2.16 
Tunas (unknown)               ,"58,888","47,861","$214,453 ",$4.48 
Skipjack tuna                 ,"2,514,922","2,409,823","$2,996,953 ",$1.24 
Yellowfin tuna                ,"4,399,599","4,275,019","$10,255,111 ",$2.40 
Albacore tuna                 ,"3,444,185","3,425,299","$4,065,512 ",$1.19 
Bigeye tuna                   ,"4,633,816","4,573,868","$14,097,407 ",$3.08 
Kawakawa                      ,"8,798","6,236","$7,385 ",$1.18 
Billfishes (unknown)          ,"1,269",510,$393 ,$0.77 
Swordfish                     ,"5,435,359","5,427,973","$16,385,723 ",$3.02 
Blue marlin                   ,"1,597,530","1,446,755","$1,360,966 ",$0.94 
Black marlin                  ,"14,798","13,660","$19,809 ",$1.45 
Striped marlin                ,"825,047","800,464","$1,030,397 ",$1.29 
Shortnose spearfish           ,"229,595","217,021","$202,369 ",$0.93 
Sailfish                      ,"22,141","21,232","$22,464 ",$1.06 
Spiny lobsters                ,"55,119","53,324","$731,525 ",$13.72 
Slipper lobsters              ,"46,100","46,016","$440,664 ",$9.58 
Crabs                         ,"42,899","36,199","$152,716 ",$4.22 
Shrimp (freshwater)           ,160,160,$800 ,$5.00 
Shrimp (saltwater)            ,"22,922","22,450","$123,401 ",$5.50 
Octopus                       ,"24,250","17,265","$48,595 ",$2.81 
Squid                         ,"5,735","4,227","$6,935 ",$1.64 
Limpets (saltwater)           ,"10,979","9,542","$34,627 ",$3.63 
Invertebrates                 ,"1,658",537,"$11,219 ",$20.89 
Algae                         ,"26,604","25,657","$75,697 ",$2.95 
TOTAL,"28,412,118","27,531,212","$61,597,271 ",$2.24 
