"Species","Year","Caught","Sold","ReportingDiff","PercRepDiff","Value","PricePerLb","InflAdj","AdjValue","AdjPricePerLb","Species","FisheryGroup","Genus","SpeciesName","SpeciesLabelShort","SpeciesLabelLong"
"Albacoretuna",1948,91634,91638,-4,-0.00436500141862546,31343,0.34,9.83,308101.69,3.3422,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1949,84123,84123,0,0,25560,0.3,9.96,254577.6,2.988,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1950,58753,58753,0,0,11382,0.19,9.83,111885.06,1.8677,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1951,50334,50334,0,0,12787,0.25,9.12,116617.44,2.28,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1952,105000,104972,28,0.0266737796745799,23995,0.23,8.94,214515.3,2.0562,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1953,49217,49022,195,0.397780588307291,8568,0.17,8.88,76083.84,1.5096,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1954,29750,29692,58,0.195338811801159,5162,0.17,8.98,46354.76,1.5266,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1955,21936,21936,0,0,4457,0.2,9.01,40157.57,1.802,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1956,13425,13425,0,0,4673,0.35,8.88,41496.24,3.108,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1957,9640,9593,47,0.489940581674137,2642,0.28,8.59,22694.78,2.4052,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1958,16217,16217,0,0,3539,0.22,8.35,29550.65,1.837,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1959,11288,11288,0,0,2393,0.21,8.3,19861.9,1.743,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1960,8918,8918,0,0,2597,0.29,8.16,21191.52,2.3664,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1961,13560,13560,0,0,4079,0.3,8.07,32917.53,2.421,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1962,16704,16704,0,0,4030,0.24,7.99,32199.7,1.9176,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1963,15048,15048,0,0,4679,0.31,7.89,36917.31,2.4459,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1964,9495,9495,0,0,3106,0.33,7.79,24195.74,2.5707,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1965,6731,6731,0,0,1751,0.26,7.66,13412.66,1.9916,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1966,19111,19111,0,0,6376,0.33,7.45,47501.2,2.4585,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1967,26361,26361,0,0,8898,0.34,7.23,64332.54,2.4582,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1968,22640,22640,0,0,8214,0.36,6.94,57005.16,2.4984,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1969,27402,27348,54,0.197455024133392,12363,0.45,6.58,81348.54,2.961,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1970,20001,20001,0,0,10639,0.53,6.22,66174.58,3.2966,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1971,23414,23414,0,0,11077,0.47,5.96,66018.92,2.8012,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1972,17975,17975,0,0,11736,0.65,5.78,67834.08,3.757,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1973,30735,30735,0,0,27641,0.9,5.44,150367.04,4.896,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1974,19509,19411,98,0.504868373602597,14890,0.77,4.9,72961,3.773,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1975,94253,91465,2788,3.04816049855136,83485,0.91,4.49,374847.65,4.0859,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1976,60149,59277,872,1.47105960153179,40314,0.68,4.24,170931.36,2.8832,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1977,79385,79280,105,0.132441977800202,72896,0.92,3.98,290126.08,3.6616,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1978,694406,693679,727,0.104803518630375,493311,0.71,3.7,1825250.7,2.627,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1979,43301,43292,9,0.0207890603344729,55933,1.29,3.33,186256.89,4.2957,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1980,149623,149433,190,0.127147283397911,118645,0.79,2.93,347629.85,2.3147,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1981,242874,242428,446,0.183972148431699,237358,0.98,2.66,631372.28,2.6068,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1982,362561,362441,120,0.0331088370245088,250601,0.69,2.5,626502.5,1.725,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1983,433325,423069,10256,2.4241908530287,316517,0.75,2.42,765971.14,1.815,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1984,269781,266734,3047,1.1423365600186,222677,0.83,2.32,516610.64,1.9256,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1985,93486,92958,528,0.567998450913316,72915,0.78,2.24,163329.6,1.7472,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1986,197586,197424,162,0.0820568927789934,167434,0.85,2.2,368354.8,1.87,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1987,32442,31472,970,3.0821047280122,41060,1.3,2.13,87457.8,2.769,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1988,55565,55339,226,0.408391911671696,80942,1.46,2.04,165121.68,2.9784,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1989,306197,304789,1408,0.461958928963972,403559,1.32,1.95,786940.05,2.574,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1990,282664,281854,810,0.287382829408133,443340,1.57,1.85,820179,2.9045,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1991,713295,702576,10719,1.5256712441074,871607,1.24,1.77,1542744.39,2.1948,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1992,741632,734421,7211,0.981861902097026,781734,1.06,1.72,1344582.48,1.8232,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1993,956916,947911,9005,0.949983701001465,1107579,1.17,1.67,1849656.93,1.9539,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
"Albacoretuna",1994,1203589,1199110,4479,0.373527032549141,1357264,1.13,1.63,2212340.32,1.8419,"Albacoretuna","Tuna","Thunnus","Thunnus alalunga","T_Alba","Albacore Tuna"
